request;description;match_bin;match
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Помогаю:
- Пережить утрату;

- Справиться с тревогой и паническими атаками;

- Осознать и, если необходимо, изменить жизненный сценарий;

- Принять свою ценность.

Работаю с диагнозами депрессия (при дополнительном участии психиатра), с расстройствами пищевого поведения (переедание, булимия), с психосоматикой.
Мои основные принципы в работе:
1. Равенство в контакте, взаимоуважение.

2. Человек - это уникальная личность со своим особенным внутренним миром, поэтому только сам Человек знает, что ему на самом деле нужно.

3. Человек может выбирать свой путь.";0;1
Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.;"Практикую гештальт-подход. Гештальт-терапия направлена на то, чтобы вернуть человеку самого себя и свободу выбора в жизни.
Помогу вам со следующими запросами:

- Избавиться от тревожности и вернуть остроту жизни;

- Наладить отношения с самим собой: принять себя, повысить самооценку, решить внутриличностные конфликты;

- Решить межличностные проблемы, которые мешают построить отношения с партнером, родителями; установить личные границы; выстроить общение в коллективе; доверять людям, перестать ревновать и обижаться;

- Понять, как достичь цели: заработать денег, построить карьеру, открыть бизнес, завести семью, похудеть, получить образование.

Помогу устранить расстройства пищевого поведения, такие как:

- Невозможность похудеть;

- Неконтролируемые приступы переедания;

- Стремление к отказу от еды;

- Заедание эмоций.

Также, работаю со сновидениями - помогаю обнаружить внутриличностные конфликты, которые вы скрываете сами от себя, разрешить их или перевести на осознанный уровень.
Являясь незрячим терапевтом, в своей работе опираюсь на тонкое слушание того, кто мне пришел.
Мои клиенты — люди, которым интересно самопознание, процесс исследования и понимания самих себя. К сожалению, я не могу быть полезен тем, кому нужна волшебная таблетка — гарантированно быстрый результат при минимальных действиях.";0;2
Здравствуйте подскажите пожалуйста хорошего семейного психолога, мне с женой - в браке 7 лет, после жизненой двуякой ситуации и скандала есть вариант развода. Чувства, желания и множество пройденных неприятностей вместе не дают на эмоциях развестись. Нужен хороший психолог помочь разобраться в делах сердечных и сохранить брак.;"Приглашаю в терапию тех, кто:
- разучился радоваться жизни и перестал замечать себя;

- кто устал ходить на нелюбимую работу и боится менять свою жизнь; - у кого нет взаимопонимания с родными и близкими, с коллегами и любимыми;

- кому грустно и одиноко.

Часто работаю с кризисами, гореванием, с проблемами личных границ человека, взаимоотношениями с людьми, детскими травмами, поиском смыслов.
Мне тоже знаком опыт потерь, бессилия, промахов, предательства и несправления. Я не понаслышке знаю, что многим из нас не хватает тепла, разрешения быть усталой и неидеальной, когда тебя не замечают и нет признания, как трудно справляться с токсическим стыдом, быть устойчивой к манипуляциям и вине, разрешать себе быть нехорошей и неудобной.
Обучаясь гештальт-терапии, проходя свою личную терапию, мне удалось пройти этот путь от обвинения и самобичевания к устойчивости и осознанности. И тем ценнее мне то, что я имею в настоящее время.
Я точно понимаю, что все не навсегда и история будет меняться, ухудшаться или улучшаться, пока я живу и следую за собой и своими желаниями быть здесь и сейчас.
Мой жизненный опыт, полученные знания и умения в области психологии, помогают мне, как терапевту, быть бережной и внимательной, уважительно и с доверием относиться к вам и вашей жизни, давать много поддержки. Со мной нестрашно.";1;3
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Приглашаю поисследовать отношения как с самим собой, так и с другими, экологично пережить внутренний кризис и разобраться в чувствах.
Работаю с запросами самореализации, мотивации, с самооценкой, одиночеством, выбором партнера, с пищевым поведением и сексуальными трудностями. Ко мне обращаются с психосоматикой, с травмами, разводом, переездом и адаптацией, некоторыми видами зависимостей (эмоциональная, гаджеты), выгоранием.
С запросами сепарации с детьми подросткового возраста и трудностями в общении с ними.
Также работаю с индивидуальными запросами на финансовые темы, с организацией бизнес-процессов и разрешения конфликтных ситуаций в социальном общении.
Придерживаюсь принципов конфиденциальности, этики, бережного отношения.
Не работаю с парами, людьми с психиатрическими диагнозами и химическими зависимостями.";0;2
Здравствуйте подскажите пожалуйста хорошего семейного психолога, мне с женой - в браке 7 лет, после жизненой двуякой ситуации и скандала есть вариант развода. Чувства, желания и множество пройденных неприятностей вместе не дают на эмоциях развестись. Нужен хороший психолог помочь разобраться в делах сердечных и сохранить брак.;Работаю  с  переживаниями кризисных ситуаций, с трудностями в процессе смены рода деятельности, с вопросами профессиональной и личностной самореализации, помогаю повысить самооценку, снова найти опору и смысл жизни. Работаю с тревогой, депрессией, страхами, утратой, одиночеством, с отношениями в паре, с темами сексологии. Придерживаюсь принципов уважения и честности с клиентом, бережного отношения и принятия.;1;3
Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.;"Работаю как в краткосрочных, так и долгосрочных методах психотерапии.
Запросы и темы, с которыми имею большой и успешный опыт:

- Семейная терапия: гармонизация и выстраивание отношений в паре, налаживание детско-родительского взаимодействия;

- Кризисные моменты в семейных отношениях: ситуации измены, развода;

- Депрессивные состояния, тревожность, фобии (в том числе, аэрофобия), панические атаки, ОКР (работа в рамках краткосрочной терапии, с целью максимально быстрого купирования симптоматики );

- Эмоциональное выгорание, самооценка;

- Деструктивные поведенческие паттерны;

- Зависимости: алкогольная, наркотическая, игровая;

- Расстройства пищевого поведения (анорексия, булимия);

- Психоэмоциональная реабилитация жертв насилия;

- Пациенты с онкологическим диагнозом и члены их семей.

Мои основные принципы работы:

- Профессианализм и непрерывное профессиональное развитие;

- Ответственность и конфиденциальность;

- Выстраивание психотерапевтичекого процесса с целью максимально эффективного решения ситуации клиента.";1;5
Подскажите психотерапевта, работающего с избегающим расстройством личности, андрофобией, депрессией.;"Стаж 10 лет
""Работа со стрессом и его последствиями, с негативными эмоциональными состояниями (тревога, агрессия, апатия, депрессивные состояния, чувства вины, обиды и др.), личной неудовлетворенностью качеством жизни и повторяющимися негативными жизненными сценариями.
Работа с самооценкой и неуверенностью в себе.
Раскрытие внутреннего потенциала (Профориентация, профессиональная и личная эффективность. Работа с личными и возрастными кризисами)
Работа по снижению веса и выстраиванию гармоничных отношений с едой
Поддержка и помощь в периоды сложностей в отношениях, разрывов отношений, разводов.""";1;3
Подскажите хорошего специалиста проблема разрыв отношений..переживание все ли сделала правильно сомнения;"Стаж 10 лет
""Работа со стрессом и его последствиями, с негативными эмоциональными состояниями (тревога, агрессия, апатия, депрессивные состояния, чувства вины, обиды и др.), личной неудовлетворенностью качеством жизни и повторяющимися негативными жизненными сценариями.
Работа с самооценкой и неуверенностью в себе.
Раскрытие внутреннего потенциала (Профориентация, профессиональная и личная эффективность. Работа с личными и возрастными кризисами)
Работа по снижению веса и выстраиванию гармоничных отношений с едой
Поддержка и помощь в периоды сложностей в отношениях, разрывов отношений, разводов.""";1;4
"Друзья, подскажите хорошего психотерапевта, психиатра или гипнотерапевта (официального), пожалуйста. Депрессивно-тревожное расстройство. Раньше не могла уснуть, теперь, даже если засыпаю, просыпаюсь ночью. Такое ощущение, что мозг не отключается вообще. Челюсть постоянно сжата, в теле тонус: приходится все время держать внимание на блоках, чтобы не перенапрягать. Так устала от себя, хочется уже просто жить и радоваться, но в первой половине дня я почти всегда, как зомби: что спала, что не спала. Энергии очень мало.
Поверхностные травмирующие события знаю. Похоже, сидит какая-то травма, о которой просто-напросто не помню.
И такое ощущение, что депрессия уже зафиксирована на гормональном уровне. Мозг все время прокручивает болезненные события и страхи. ";"Стаж 10 лет
Принимает взрослых с 18 лет.
Моя работа основана на бережном и уважительном отношении к вашим ценностям и убеждениям. Во время сессий я стараюсь создать безопасное пространство, в котором вы сможете получить помощь и поддержку.
С чем я работаю: кризисные и переломные ситуации в жизни, тревога и страхи, самооценка, материнское выгорание и поддержка женщин в декретном отпуске, поддержка во время беременности, трудности в отношениях (семейные, детско-родительские, личные), личные границы, личностный рост и раскрытие потенциала.";0;1
Здравствуйте подскажите пожалуйста хорошего семейного психолога, мне с женой - в браке 7 лет, после жизненой двуякой ситуации и скандала есть вариант развода. Чувства, желания и множество пройденных неприятностей вместе не дают на эмоциях развестись. Нужен хороший психолог помочь разобраться в делах сердечных и сохранить брак.;"Стаж 11 лет
Поможет разобраться и увидеть оптимальные решения в любых карьерных вопросах, в желании изменить свою жизнь, запросах, связанных со здоровьем и телом (психосоматика), лишним весом, сложных отношениях с родителями во взрослом возрасте, одиночеством, переходных моментах и кризисах в жизни, при расставании, поисках выхода из застревания в прошлом, поиске себя и своего пути, самореализации, поиске и интеграции ресурсов, раскрытии собственного потенциала, личностном росте, депрессии, адаптации в новых условиях, раскрытии женственности, отношениях в паре, отношениях в коллективе, окажет поддержку в стрессовых ситуациях,  психологическое сопровождение в постановке и достижении целей и др.";1;3
Подскажите пожалуйста хорошего не очень дорогого специалиста. Не могу справиться с собой: страхи, самобичевание , нежелание что - либо делать .;"Стаж 11 лет
Поможет разобраться и увидеть оптимальные решения в любых карьерных вопросах, в желании изменить свою жизнь, запросах, связанных со здоровьем и телом (психосоматика), лишним весом, сложных отношениях с родителями во взрослом возрасте, одиночеством, переходных моментах и кризисах в жизни, при расставании, поисках выхода из застревания в прошлом, поиске себя и своего пути, самореализации, поиске и интеграции ресурсов, раскрытии собственного потенциала, личностном росте, депрессии, адаптации в новых условиях, раскрытии женственности, отношениях в паре, отношениях в коллективе, окажет поддержку в стрессовых ситуациях,  психологическое сопровождение в постановке и достижении целей и др.";0;1
Добрый вечер! Прошу помощи,к кому обращаться, ребёнка словно подменили, теперь я не умею и знаю как вести коммуникацию с собственным ребенком;"Стаж 17 лет
Занимается психологическими кризисами, проблемами в отношениях, конфликтами внешними и внутренними, депрессиями, значительным снижением настроения, разводами, неуверенностью в себе, трудностями с выражением чувств и идей, навязчивыми мыслями и состояниями, страхами, паническими состояниями, психосоматическими расстройствами. В работе с детьми и родителями: проблемы детско-родительских отношений (родительская неуверенность, трудное поведение ребенка, проблемы воспитания). Помощь подросткам (налаживание отношений с близкими, сверстниками; коррекция поведения, преодоление возрастных трудностей). Работает в направлении Когнитивно-поведенческой терапии - это один из эффективных и научно обоснованных методов, который отлично зарекомендовал себя как в работе со взрослыми, так и с подростками. Данный метод направлен на изменение когнитивных искажений (мыслей, убеждений, установок) и поведения, а также улучшение эмоциональной регуляции и выработку новых более эффективных стратегий в решении текущих проблем. Работа в рамках краткосрочной, среднесрочной и долгосрочной психотерапии.";1;5
"Друзья, подскажите хорошего психотерапевта, психиатра или гипнотерапевта (официального), пожалуйста. Депрессивно-тревожное расстройство. Раньше не могла уснуть, теперь, даже если засыпаю, просыпаюсь ночью. Такое ощущение, что мозг не отключается вообще. Челюсть постоянно сжата, в теле тонус: приходится все время держать внимание на блоках, чтобы не перенапрягать. Так устала от себя, хочется уже просто жить и радоваться, но в первой половине дня я почти всегда, как зомби: что спала, что не спала. Энергии очень мало.
Поверхностные травмирующие события знаю. Похоже, сидит какая-то травма, о которой просто-напросто не помню.
И такое ощущение, что депрессия уже зафиксирована на гормональном уровне. Мозг все время прокручивает болезненные события и страхи. ";"Стаж 17 лет
Занимается психологическими кризисами, проблемами в отношениях, конфликтами внешними и внутренними, депрессиями, значительным снижением настроения, разводами, неуверенностью в себе, трудностями с выражением чувств и идей, навязчивыми мыслями и состояниями, страхами, паническими состояниями, психосоматическими расстройствами. В работе с детьми и родителями: проблемы детско-родительских отношений (родительская неуверенность, трудное поведение ребенка, проблемы воспитания). Помощь подросткам (налаживание отношений с близкими, сверстниками; коррекция поведения, преодоление возрастных трудностей). Работает в направлении Когнитивно-поведенческой терапии - это один из эффективных и научно обоснованных методов, который отлично зарекомендовал себя как в работе со взрослыми, так и с подростками. Данный метод направлен на изменение когнитивных искажений (мыслей, убеждений, установок) и поведения, а также улучшение эмоциональной регуляции и выработку новых более эффективных стратегий в решении текущих проблем. Работа в рамках краткосрочной, среднесрочной и долгосрочной психотерапии.";0;1
Здравствуйте, ищу специалиста психотерапевта - мужчина, для проработки ненадежного типа привязанности и проблем в отношениях. Желательно обладающего мед. знаниями в области психиатрии для обнаружения (при наличии ) психиатрического диагноза( биполярное расстройство личности, пограничное расстройство и тп). Вопрос цены немаловажен , готова рассмотреть варианты спец. с небольшим опытом.;"Стаж 17 лет
Здравствуйте, меня зовут Виктория Томилина, я психолог, когнитивно – поведенческий психотерапевт, член Ассоциации Когнитивно – Поведенческой Психотерапии, системный бизнес-коуч и специалист по Майндфулнес.
Я закончила высшее психологическое образование и получила звание магистра в Российском Государственном Гуманитарном Университете. А также имею второе высшее юридическое образование.
Имею большоой опыт частной практики по личным и бизнес запросам, а также опыт работы в HR b и собственном бизнесе.
""Я работаю: с тревожными расстройствами; депрессивными состояниями; страхами; проблемами с регуляцией эмоций;
стрессовыми и кризисными ситуациями; сложностями в межличностных отношениях, в том числе на работе; работаю с самооценкой и выстраиванием личных границ; с повышением качества жизни.""
Я также работаю с бизнес запросами: выгорание; разработка личной стратегии; управление и развитие команды; лидерские навыки; работа с конфликтами; помогаю найти сильные стороны и точки опоры. Работаю с теми, кто понимает, что все хорошо, но может быть еще лучше!
Регулярно прохожу личную терапию и коучинг, супервизии и интервизии.";0;1
Подскажите психотерапевта, работающего с избегающим расстройством личности, андрофобией, депрессией.;"Стаж 17 лет
Клинический психолог, нейропсихолог, системный семейный терапевт, КПТ- и EMDR- терапевт.
""Основные запросы:
— личностные кризисы
— сложности адаптации
— проблемы с самоопределением
— тревожные состояния (страхи и фобии)
— сильные эмоциональные переживания
— трудности с построением личных границ
— низкая самооценка (самокритика, вина, стыд)
— постановка целей и поддержка в их достижении
— горевание (расставание или смерть близкого человека, другие утраты)
— проблемы в отношениях (одиночество, конфликты, кризисы, созависимость)
— затруднения в профессиональной сфере (прокрастинация, перфекционизм, выгорание,  трудоголизм).""
""Подходы и методы, которые используются в работе:
—  транзактный анализ (ТА)
—  психоаналитическая терапия (психоанализ)
—  системная семейная терапия (ССТ)
—  терапия внутренних семейных систем (IFS)
— когнитивно-поведенческая терапия (CBT)
— терапия принятия и ответственности (ACT)
— эмоционально-образная терапия (ЭОТ)
— денсибилизация и переработка движением глаз (EMDR)
—  телесно-ориентированная психотерапия (ТОП).""";1;5
Девушка, 24 года, дереализация и тревожная депрессия, препараты подобраны, нужна психотерапия. Ваши рекомендации.;"Стаж 17 лет
Принимает взрослых с 18 лет .
Проводит психологические консультации по таким вопросам, как жизненные проблемы и потрясения, конфликты с родными и близкими, непонимание, неуверенность в себе, низкая самооценка, потеря смысла жизни, проблемы в общении, психологические травмы, эмоциональные проблемы.";0;1
Подскажите хорошего специалиста проблема разрыв отношений..переживание все ли сделала правильно сомнения;"Стаж 17 лет
Принимает взрослых с 18 лет .
Проводит психологические консультации по таким вопросам, как жизненные проблемы и потрясения, конфликты с родными и близкими, непонимание, неуверенность в себе, низкая самооценка, потеря смысла жизни, проблемы в общении, психологические травмы, эмоциональные проблемы.";0;2
Подскажите психотерапевта, работающего с избегающим расстройством личности, андрофобией, депрессией.;"Стаж 17 лет
Принимает взрослых с 18 лет.
Расстройство личности, расстройство пищевого поведения (анорексия, булимия, компульсивное переедание), тревожное расстройство, панические атаки, психосоматика, депрессия, обсессивно-компульсивное расстройство, выгорание, созависимые отношения, семейные кризисы, конфликты, кризисы личности, нарушения адаптации/ когнитивно-поведенческая терапия, терапия принятия и ответственности, CFT, практики осознанности (mindfulness), метод Мюррей, метафорические карты.";0;2
Подскажите хорошего специалиста проблема разрыв отношений..переживание все ли сделала правильно сомнения;"Стаж 17 лет
Принимает взрослых с 18 лет.
Расстройство личности, расстройство пищевого поведения (анорексия, булимия, компульсивное переедание), тревожное расстройство, панические атаки, психосоматика, депрессия, обсессивно-компульсивное расстройство, выгорание, созависимые отношения, семейные кризисы, конфликты, кризисы личности, нарушения адаптации/ когнитивно-поведенческая терапия, терапия принятия и ответственности, CFT, практики осознанности (mindfulness), метод Мюррей, метафорические карты.";0;2
Добрый день! Ищу специалиста, постоянные сложности в отношениях с мужчинами и своей мамой. Помогите пожалуйста разобраться в себе! Буду очень признательна!;"Стаж 18 лет
""Работает с неуверенностью в себе, проблемами в отношениях, депрессивными состояниями, страхами, паническими атаками.
Поможет пережить расставание/развод, утрату близкого. Разобраться в причинах, если что-то не получается, принять трудное решение.""";1;3
Подскажите пожалуйста хорошего не очень дорогого специалиста. Не могу справиться с собой: страхи, самобичевание , нежелание что - либо делать .;"Стаж 18 лет
""Работает с неуверенностью в себе, проблемами в отношениях, депрессивными состояниями, страхами, паническими атаками.
Поможет пережить расставание/развод, утрату близкого. Разобраться в причинах, если что-то не получается, принять трудное решение.""";1;4
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Стаж 2 года
Принимает взрослых с 18 лет.
Я работаю основываясь на теории КПТ, поведенческого анализа. При взаимодействии помогаю справиться с негативными переживаниями и эмоциями: страх, тревога, дистресс, неувереннлсть, низкая самооценка. А также помогу проанализировать и сформировать желательное поведение, разработать мотивирование.";0;1
"Друзья, подскажите хорошего психотерапевта, психиатра или гипнотерапевта (официального), пожалуйста. Депрессивно-тревожное расстройство. Раньше не могла уснуть, теперь, даже если засыпаю, просыпаюсь ночью. Такое ощущение, что мозг не отключается вообще. Челюсть постоянно сжата, в теле тонус: приходится все время держать внимание на блоках, чтобы не перенапрягать. Так устала от себя, хочется уже просто жить и радоваться, но в первой половине дня я почти всегда, как зомби: что спала, что не спала. Энергии очень мало.
Поверхностные травмирующие события знаю. Похоже, сидит какая-то травма, о которой просто-напросто не помню.
И такое ощущение, что депрессия уже зафиксирована на гормональном уровне. Мозг все время прокручивает болезненные события и страхи. ";"Стаж 20 лет
Занимается проблемами в семье, на работе, депрессиями, апатией, чувством одиночества, вины, обиды, потерей смысла жизни, предназначением и т.д. Занимается зависимостью, созависимостью, расстройством пищевого поведения, психогенной депрессией.";0;1
